X,Y,ADJG,B_ERR,BOUGUER,COORD_ERR,DAY,DEPTH,DEPTH_ERR,DEPTH_TYPE,ELEV,ELEV_ERR,FA_ERR,FREEAIR,G_ERR,PROJ,STATUS,STN,STN_TYPE,TC,TC_ERR,TIME
-125.935723,52.0132,980776.2,8.37,-116.67,1,18-Jul-72,0,0,1,1748.94,3,0.93,66.82,0.1,1972103,1,5484,1,12.3,8.31,2110
-125.160056,52.010207,980660.2,9.86,-135,1,02-Aug-72,0,0,1,2189.99,3,0.93,87.02,0.1,1972103,1,5569,1,23.15,9.81,2313
-124.3315,52.003224,980915.8,1.12,-134.2,100,24-Jul-66,0,0,1,1003.4,3,1.06,-22.56,0.5,1966013,1,30614,1,0.69,0.15,1625
-124.9899,52.016536,980931.1,3.29,-129.76,100,04-Aug-72,0,0,1,942.59,10,3.09,-27.18,0.1,1972103,1,5577,1,2.94,0,2050
-125.976557,52.253209,980816.2,7.51,-118.74,100,18-Jul-72,0,0,1,1590.08,10,3.09,36.77,0.1,1972103,1,5483,1,22.5,6.75,2050
-125.759884,52.142543,980641,11.95,-140.97,1,18-Jul-72,0,0,1,2276.55,3,0.93,82.87,0.1,1972103,1,5485,1,31.02,11.91,2125
-125.811384,52.233878,980676.9,7,-161.17,1,18-Jul-72,0,0,1,2043.68,3,0.93,38.98,0.1,1972103,1,5486,1,28.64,6.93,2142
-125.591045,52.240048,980696.8,4.58,-161.07,1,04-Aug-72,0,0,1,2048.26,3,0.93,59.75,0.1,1972103,1,5572,1,8.48,4.47,1747
-125.89189,52.257711,980655,11.53,-136.96,1,04-Aug-72,0,0,1,2290.57,3,0.93,91.08,0.1,1972103,1,5573,1,28.39,11.49,1801
-125.213225,52.078208,980857.4,3.29,-126,100,04-Aug-72,0,0,1,1357.88,10,3.09,21.75,0.1,1972103,1,5576,1,4.26,0,2040
-125.488537,52.248718,980678.3,6.2,-133.39,1,01-Aug-72,0,0,1,2237.23,3,0.93,98.73,0.1,1972103,1,6462,1,18.34,6.12,1615
-125.646543,52.249881,980640.7,8.99,-167.77,1,01-Aug-72,0,0,1,2243.94,3,0.93,63.1,0.1,1972103,1,6463,1,20.34,8.94,1622
-125.576221,52.170877,980677.8,6.88,-146.92,1,01-Aug-72,0,0,1,2152.19,3,0.93,78.86,0.1,1972103,1,6464,1,15.16,6.8,1640
-125.416544,52.159881,980890.1,3.29,-122.14,100,01-Aug-72,0,0,1,1235.93,10,3.09,9.68,0.1,1972103,1,6465,1,6.54,0,1647
-125.42421,52.025048,980652.3,7.95,-117.62,1,01-Aug-72,0,0,1,2316.78,3,0.93,116.89,0.1,1972103,1,6466,1,24.85,7.89,1659
-125.643547,52.052708,980641.1,11.05,-119.68,1,01-Aug-72,0,0,1,2347.87,3,0.93,112.84,0.1,1972103,1,6467,1,30.32,11.01,1704
-125.229882,52.151545,980897.9,0.99,-133.19,100,01-Aug-72,0,0,1,1169.52,3,0.93,-2.27,0.1,1972103,1,6483,1,0,0,2146
-125.298211,52.226548,980898.4,0.99,-137.51,100,01-Aug-72,0,0,1,1169.21,3,0.93,-8.45,0.1,1972103,1,6484,1,1.83,0,2155
-125.086535,52.256548,980911.2,1.11,-135.56,100,23-Jul-66,0,0,1,1134.16,3,1.06,-9.09,0.5,1966013,1,30605,1,0.49,0,1615
-125.053209,52.189879,980902.4,1.11,-128.5,100,23-Jul-66,0,0,1,1184.76,3,1.06,3.57,0.5,1966013,1,30606,1,0.57,0,1640
-125.024892,52.11154,980897.6,1.12,-139.68,100,23-Jul-66,0,0,1,1115.26,3,1.06,-15.78,0.5,1966013,1,30607,1,0.96,0.15,1700
-124.274831,52.048225,980955.1,1.23,-115.01,100,24-Jul-66,0,0,1,913.79,3,1.06,-14.84,0.5,1966013,1,30615,1,2.13,0.54,1700
-124.209837,52.064893,980953.5,1.11,-119.37,100,24-Jul-66,0,0,1,913.18,3,1.06,-18.1,0.5,1966013,1,30616,1,0.96,0,1715
-124.131498,52.094894,980951.7,1.11,-125.74,100,24-Jul-66,0,0,1,903.73,3,1.06,-25.45,0.5,1966013,1,30617,1,0.88,0,1730
-124.206505,52.161562,980880.8,1.22,-109.94,100,24-Jul-66,0,0,1,1368.55,3,1.06,41.12,0.5,1966013,1,30618,1,2.15,0.5,1915
