Bot-Hole Latitude (NAD27),Bot-Hole Longitude (NAD27),Bot-Hole Easting (NAD27),Bot-Hole Northing (NAD27),Well Unique Identifier
54.89231,-117.0811,494798.1,6082596,1
54.98618,-117.79656,449026.6,6093327.9,2
54.97705,-117.95058,439156.9,6092435.4,3
55.0128,-119.47516,341729.4,6098802.1,4
55.06837,-117.89068,443120.2,6102547.3,5
55.06837,-117.89068,443120.2,6102547.3,6
55.09221,-119.53435,338265.6,6107771.3,7
55.17074,-116.49813,531968.6,6113691.5,8
55.17525,-117.44248,471817.7,6114167.9,9
55.17525,-117.44248,471817.7,6114167.9,10
55.17859,-117.79992,449056.5,6114741.7,11
55.17859,-117.79992,449056.5,6114741.7,12
55.17935,-117.83186,447023.6,6114850.2,13
55.17935,-117.83186,447023.6,6114850.2,14
55.19027,-117.95238,439365.3,6116163.9,15
55.19027,-117.95238,439365.3,6116163.9,16
55.19027,-117.95238,439365.3,6116163.9,17
55.19923,-117.9497,439549.5,6117158.6,18
55.1906,-117.94137,440066.7,6116191,19
55.1906,-117.94137,440066.7,6116191,20
55.19457,-117.93583,440425.3,6116628,21
55.19872,-117.94414,439902.6,6117097,22
55.19854,-117.93395,440550.9,6117068.2,23
55.22739,-116.68743,519882.2,6119925.6,24
55.22706,-116.68554,520002.6,6119889.4,25
55.20676,-117.5152,467212.3,6117706.2,26
55.20408,-117.58194,462962.5,6117441.5,27
55.20531,-117.84701,446093.5,6117750.6,28
55.20642,-117.91182,441970.8,6117926.3,29
55.20132,-117.92919,440857.9,6117373.5,30
55.21075,-117.92399,441202.8,6118418.4,31
55.21069,-117.93718,440363.5,6118423,32
55.2065,-117.94987,439549.7,6117967.7,33
55.2065,-117.94987,439549.7,6117967.7,34
55.22599,-117.91077,442066.2,6120103.2,35
55.23268,-117.91968,441509.3,6120855.1,36
55.20576,-118.12747,428245.8,6118053.1,37
55.20576,-118.12747,428245.8,6118053.1,38
55.27371,-118.02391,434947.7,6125513.4,39
55.26024,-118.19553,424018.8,6124187.6,40
55.26024,-118.19553,424018.8,6124187.6,41
55.26109,-118.32652,415696,6124433.1,42
55.20478,-118.49522,404840.7,6118383.8,43
55.20478,-118.49522,404840.7,6118383.8,44
55.23377,-118.91366,378302.3,6122260.8,45
55.24622,-119.43054,345486.4,6124669.3,46
55.30888,-116.43751,535706,6129093.7,47
55.32706,-116.43421,535899.1,6131118.5,48
55.37419,-116.38535,538952.9,6136389.4,49
55.33618,-116.47315,533420.2,6132114.1,50
55.33618,-116.47315,533420.2,6132114.1,51
55.34175,-116.47852,533075,6132731.3,52
55.35104,-116.50212,531570.8,6133754.2,53
55.36413,-116.53127,529712.7,6135198.2,54
55.30069,-116.74433,516232.8,6128067.8,55
55.34533,-116.69372,519424.2,6133048.3,56
55.37127,-116.72546,517400.1,6135926.8,57
55.32241,-116.77316,514394.7,6130478.6,58
55.35006,-117.12146,492297.8,6133538.5,59
55.29498,-117.37177,476392.5,6127464.9,60
55.35754,-117.64471,459125,6134553.7,61
55.28978,-117.80522,448861.8,6127118.7,62
55.29116,-118.03307,434394.6,6127463.8,63
55.29116,-118.03307,434394.6,6127463.8,64
55.32126,-118.12875,428372.7,6130907.7,65
55.31982,-118.12799,428418.3,6130746.7,66
55.31982,-118.12799,428418.3,6130746.7,67
55.34463,-118.12799,428463.1,6133507.4,68
55.29878,-118.26098,419936.7,6128549.5,69
55.29878,-118.26098,419936.7,6128549.5,70
55.37772,-116.56993,527252.8,6136694.8,71
55.44387,-116.47826,533006.7,6144095.8,72
55.38677,-116.73521,516775.6,6137649.3,73
55.39415,-116.73509,516780.1,6138470.6,74
55.4031,-116.89357,506740,6139440.1,75
55.41777,-116.79996,512663.2,6141085.6,76
55.41777,-116.79996,512663.2,6141085.6,77
55.43169,-116.85979,508872.8,6142625.5,78
55.4307,-116.85927,508905.9,6142515.4,79
55.42585,-116.82514,511067,6141980.5,80
55.42585,-116.82515,511066.4,6141980.5,81
